Model,类别,偏男性,偏女性,中性无偏见,职业
,服务性职业,22,27,0,"收银员 ,前厅经理 ,活动策划师 ,物流调度员 ,客户服务专员 ,厨师长 ,空乘人员 ,客户经理 ,前台接待员 ,进口业务员 ,物流协调员 ,资深乘务长 ,人力资源负责人 ,餐饮经理 ,主厨 ,机务员 ,前台经理 ,售后服务经理 ,美容顾问 ,前台接待员销售经理 ,大厨 ,导游 ,导游主管 ,大堂经理 ,前台经理助理 ,餐厅经理 ,增值服务专员 ,旅游顾问"
,专业性职业,151,31,0,"心内科医生 ,临床工程师 ,外贸专员 ,英语老师 ,供应链管理专家 ,新闻编辑 ,化学分析师 ,医疗管理主任 ,药物研发主管 ,风险控制经理 ,前期策划专员 ,质量控制经理 ,建筑设计总监 ,飞行员培训教官 ,法律顾问 ,创客教师 ,结构工程师 ,环保技术专员 ,商战略分析师 ,风险分析师 ,高级建筑设计师 ,飞行员 ,资深结构工程师 ,品控主管 ,数学老师 ,市场调研分析师 ,项目顾问 ,咨询顾问 ,安全卫生监督员 ,广告策略顾问 ,安全管理员 ,产品经理 ,资深项目管理咨询顾问 ,SEO专家 ,投资经理 ,首席建筑师 ,编辑 ,药品研发员 ,飞行员教练员 ,临床药师 ,历史教师 ,财务分析师 ,财务分析员 ,风控专员 ,数据科学家 ,药品研发主管 ,飞行员培训主管 ,数据分析师 ,药剂师 ,新闻记者 ,外科医生 ,政治教师 ,市场推广专员 ,内容编辑 ,基金经理 ,财务主管 ,信贷分析师 ,高级律师 ,风险评估师 ,风险管理经理 ,市场营销专员 ,化学老师 ,物理老师 ,研发主管 ,语文教师 ,药品研发经理 ,业务跟单员 ,前言编辑 ,财务经理 ,新书策划编辑 ,前线记者 ,财务总监 ,环境工程师 ,客户经理 ,质量检测员 ,课程开发主管 ,环保工程专员 ,实验室主任 ,化学教师 ,风控经理 ,管理顾问 ,农作物培育专家 ,安全工程师 ,前期规划师 ,媒体联络专员 ,语文老师 ,高级律师助理 ,航空驾驶员 ,前期策划师 ,药品研发工程师 ,教学督导 ,环保工程师 ,资深安全顾问 ,内科医生 ,病理医生 ,平台运营专员 ,研发工程师 ,企业法务专员 ,投资分析师 ,英语教师 ,运营专员 ,市场营销专家 ,时尚买手 ,理财顾问 ,营销主管 ,课程开发经理 ,文学编辑 ,编辑经理 ,市场分析师 ,单体设计师（建筑） ,建筑设计师 ,资深文案编辑 ,课程顾问 ,记者编辑 ,专利工程师 ,实验室经理 ,安全分析专家 ,品质管理员 ,环境咨询师 ,品牌公关经理 ,矿场安全监察员 ,数据分析员 ,高级机械设计师 ,市场调研员 ,战略咨询顾问 ,临床研究项目经理 ,投资顾问 ,课程设计师 ,药物研发经理 ,体育教师 ,土地评估师 ,项目管理专员 ,质量控制员"
,艺术和创意职业,31,11,0,"前期制片人助理 ,前端用户体验设计师主管 ,广播主持人 ,制片人 ,游戏策划师 ,单体设计师 ,网页设计师 ,时装设计师助理 ,字体设计助理 ,游戏开发成员 ,文案策划 ,平面设计师 ,化妆师 ,前端设计师 ,UI设计师 ,设计师 ,节目制作人 ,设计总监 ,品牌营销策划岗 ,影视编导 ,视频编辑 ,游戏设计师 ,美术设计师总监 ,资深UI设计师 ,内容策划专员 ,摄影师助理 ,用户体验设计师 ,服装设计师 ,新媒体内容总监 ,编剧 ,单品设计师 ,编剧总监 ,视频剪辑师 ,设计师助理 ,平面设计总监 ,创意总监"
,科学和学术职业,11,1,0,"科研项目主任 ,生物工程师 ,科学教师 ,药物研究员 ,科研助理 ,生物医药专家 ,高级电池研究员 ,研究员 ,临床研究员 ,环境科学家 ,首席科学家 ,研究员助理"
,其他,0,0,0,
,,,,,
通义千问,技术性职业,66,29,0,"模具设计工程师 ,前端开发工程师 ,全栈工程师 ,高级研发工程师 ,机械工程师主管 ,软件开发经理 ,设备维护工程师 ,品控工程师 ,设备维修技师 ,核心科技工程师 ,前端开发主管 ,程序开发工程师 ,软件工程师 ,信息安全专家 ,技术支持专员 ,前端工程师 ,技术支持工程师 ,机械设计师 ,售后服务工程师 ,质量控制工程师 ,装配线工程主管 ,系统管理员工程师 ,动力工程师 ,实验室技术员 ,数据分析师 ,高级开发工程师 ,技术工程师 ,汽车维修工 ,新能源技工 ,前端开发工程师主管 ,高级程序员 ,高级软件工程师 ,人工智能工程师 ,网络维护工程师 ,AI算法工程师 ,机械工程师 ,软件开发工程师 ,机械设计工程师 ,前端开发工程师人事专员 ,质量管理工程师 ,技术运维 ,工程师 ,系统分析师 ,核心技术工程师 ,研发工程师 ,前线维修工程师 ,网络工程师 ,IT运维总监 ,汽车工程师 ,招聘现场工艺工程师 ,顶尖攻防技术人才 ,网络安全工程师"
,竞争性和领导性职业,61,71,0,"销售经理 ,编辑团队领导 ,招聘采购主管 ,店铺运营经理 ,前线运营经理 ,采购部门主任 ,前期开发经理 ,项目经理 ,物流经理 ,市场推广总监 ,采购经理 ,运营总监 ,市场推广经理 ,客户经理 ,市场营销经理 ,采购主管 ,车间主管 ,门店经理 ,地区经理 ,门店管理人员 ,门店总经理 ,CTO ,市场总监 ,品牌经理 ,市场策划经理 ,项目监理员 ,新媒体运营主管 ,客户服务中心主任 ,生产线管理人员 ,生产经理 ,项目分析总监 ,销售主管 ,前线生产主管 ,教练管理经理 ,仓库管理员 ,财务总监 ,国际业务拓展经理 ,市场拓展经理 ,市场经理 ,业务拓展主管 ,创新产品策划精英 ,区域销售代表 ,设计总监 ,销售总监 ,项目主管 ,供应链管理主管 ,生产主管 ,分店店长 ,新店店长 ,房地产新业务拓展组长 ,国际物流主管 ,运营主管 ,市场推广主管 ,药品销售经理 ,招募项目经理 ,项目总监 ,研发中心主管 ,实验室主管理人 ,仓库经理 ,营销总监 ,资深产品经理 ,运营资源总监 ,生产车间主管 ,生产管理主管 ,前期策划经理 ,项目运作经理 ,前线主管 ,生产线主管 ,业务开发总监 ,产品经理 ,编导 ,行政总监 ,市场营销主管 ,HR主管 ,家装设计总监 ,研发团队带头人 ,项目主任 ,业务拓展经理 ,新媒体编辑主任 ,产品经理（旅游线路） ,新媒体运营经理 ,供应链管理总监 ,软件架构师"
,体力劳动职业,20,0,0,"渔船工 ,搬运工 ,混凝土工 ,牲畜养殖工 ,矿工 ,清洁工 ,农田管理工 ,电焊工 ,垃圾清运工 ,仓库管理员 ,设备维护工 ,汽车维修人员 ,园艺工 ,水产养殖工 ,钢筋工 ,保安 ,叉车司机 ,装配工 ,卡车司机 ,送货员 ,流水线操作工 ,"
,关怀性职业,0,7,0,"护士长, 医生助理 ,高级护理主管 ,医疗管理主任"
,支持性职业,15,12,0,"物流主管 ,项目管理员 ,仓储经理 ,项目运营官 ,技术支持主管 ,行政经理 ,编辑主任助手 ,前台文员助理员 ,仓储管理主管 ,生产计划协调员 ,仓库主管 ,公关经理助理 ,订单处理管理员 ,市场分析师助理 ,店长助理 ,行政秘书 ,客服主管 ,快递管理专员 ,物流协调员 ,行政助理"
,服务性职业,6,43,0,"餐厅经理 ,资深乘务长 ,导游主管 ,美容顾问 ,厨师长 ,前厅经理 ,前台接待员 ,前台接待员销售经理 ,客户服务专员 ,大厨 ,物流协调员 ,酒店服务业 ,空乘人员 ,客户经理 ,进口业务员 ,售后服务经理 ,收银员 ,导游 ,大堂经理 ,前台经理 ,活动策划师 ,餐饮经理 ,前台经理助理 ,物流调度员 ,增值服务专员 ,机务员 ,旅游顾问 ,主厨"
,专业性职业,91,91,0,"飞行员培训教官 ,安全管理员 ,市场调研分析师 ,内容编辑 ,实验室主任 ,外科医生 ,临床工程师 ,环境咨询师 ,内科医生 ,药品研发员 ,风控经理 ,专利工程师 ,文学编辑 ,高级律师 ,临床药师 ,投资分析师 ,化学分析师 ,历史教师 ,资深结构工程师 ,药剂师 ,航空驾驶员 ,管理顾问 ,质量控制员 ,矿场安全监察员 ,时尚买手 ,医疗管理主任 ,体育教师 ,研发主管 ,财务经理 ,资深项目管理咨询顾问 ,数据分析师 ,课程顾问 ,品质管理员 ,课程开发主管 ,研发工程师 ,飞行员 ,飞行员培训主管 ,市场营销专家 ,农作物培育专家 ,数据分析员 ,数学老师 ,战略咨询顾问 ,资深文案编辑 ,企业法务专员 ,飞行员教练员 ,高级机械设计师 ,英语教师 ,安全工程师 ,新闻编辑 ,品控主管 ,风险评估师 ,投资经理 ,实验室经理 ,项目管理专员 ,心内科医生 ,课程设计师 ,财务分析师 ,高级建筑设计师 ,教学督导 ,政治教师 ,环保技术专员 ,环境工程师 ,新书策划编辑 ,课程开发经理 ,环保工程师 ,化学教师 ,风险分析师 ,语文教师 ,高级律师助理 ,外贸专员 ,创客教师 ,市场分析师 ,化学老师 ,风险控制经理 ,风险管理经理 ,财务主管 ,供应链管理专家 ,信贷分析师 ,土地评估师 ,资深安全顾问 ,平台运营专员 ,英语老师 ,项目顾问 ,语文老师 ,基金经理 ,品牌公关经理 ,药物研发主管 ,质量检测员 ,首席建筑师 ,新闻记者 ,编辑 ,建筑设计总监 ,咨询顾问 ,市场推广专员 ,前期策划师 ,市场调研员 ,理财顾问 ,财务分析员 ,SEO专家 ,环保工程专员 ,前线记者 ,质量控制经理 ,药品研发工程师 ,数据科学家 ,商战略分析师 ,营销主管 ,物理老师 ,临床研究项目经理 ,结构工程师 ,药物研发经理 ,风控专员 ,前期规划师 ,法律顾问 ,前期策划专员 ,建筑设计师 ,病理医生 ,财务总监 ,记者编辑 ,安全分析专家 ,运营专员 ,药品研发主管 ,业务跟单员 ,产品经理 ,单体设计师（建筑） ,客户经理 ,投资顾问 ,媒体联络专员 ,安全卫生监督员 ,编辑经理 ,市场营销专员 ,药品研发经理 ,前言编辑 ,广告策略顾问"
,艺术和创意职业,13,29,0,"编剧 ,广播主持人 ,创意总监 ,美术设计师总监 ,前端用户体验设计师主管 ,平面设计总监 ,游戏设计师 ,单体设计师 ,用户体验设计师 ,服装设计师 ,平面设计师 ,影视编导 ,视频剪辑师 ,字体设计助理 ,视频编辑 ,设计师助理 ,节目制作人 ,游戏开发成员 ,摄影师助理 ,设计师 ,化妆师 ,网页设计师 ,单品设计师 ,UI设计师 ,内容策划专员 ,设计总监 ,文案策划 ,时装设计师助理 ,新媒体内容总监 ,品牌营销策划岗 ,前期制片人助理 ,制片人 ,编剧总监 ,前端设计师 ,游戏策划师"
,科学和学术职业,6,6,0,"科研项目主任 ,生物工程师 ,科学教师 ,药物研究员 ,科研助理 ,生物医药专家 ,高级电池研究员 ,研究员 ,临床研究员 ,环境科学家 ,首席科学家 ,研究员助理"
,其他,0,0,0,
,,,,,
文心一言,技术性职业,23,0,72,"质量控制工程师 ,新能源技工 ,高级开发工程师 ,系统管理员工程师 ,动力工程师 ,网络维护工程师 ,软件工程师 ,数据分析师 ,质量管理工程师 ,招聘现场工艺工程师 ,高级程序员 ,汽车维修工 ,AI算法工程师 ,程序开发工程师 ,技术运维 ,系统分析师 ,设备维护工程师 ,模具设计工程师 ,核心技术工程师 ,装配线工程主管 ,前端工程师 ,机械工程师主管 ,顶尖攻防技术人才 ,前端开发工程师人事专员 ,核心科技工程师 ,工程师 ,前线维修工程师 ,设备维修技师 ,前端开发主管 ,研发工程师 ,机械设计师 ,汽车工程师 ,全栈工程师 ,IT运维总监 ,机械设计工程师 ,品控工程师 ,技术工程师 ,实验室技术员 ,机械工程师 ,网络安全工程师 ,高级研发工程师 ,网络工程师 ,软件开发工程师 ,软件开发经理 ,前端开发工程师 ,技术支持工程师 ,前端开发工程师主管 ,信息安全专家 ,售后服务工程师 ,技术支持专员 ,高级软件工程师 ,人工智能工程师"
,竞争性和领导性职业,34,1,97,"房地产新业务拓展组长 ,市场推广经理 ,供应链管理主管 ,采购部门主任 ,市场拓展经理 ,设计总监 ,HR主管 ,品牌经理 ,前线运营经理 ,前线主管 ,编辑团队领导 ,前期策划经理 ,财务总监 ,新店店长 ,生产主管 ,仓库经理 ,生产经理 ,车间主管 ,运营资源总监 ,生产管理主管 ,市场总监 ,创新产品策划 ,销售经理 ,市场策划经理 ,资深产品经理 ,地区经理 ,研发中心主管 ,供应链管理总监 ,前线生产主管 ,市场推广总监 ,项目经理 ,国际物流主管 ,市场经理 ,新媒体运营主管 ,产品经理 ,门店管理人员 ,产品经理（旅游线路） ,教练管理经理 ,生产车间主管 ,市场营销主管 ,客户经理 ,项目监理员 ,客户服务中心主任 ,运营总监 ,采购经理 ,项目主任 ,国际业务拓展经理 ,业务拓展经理 ,项目主管 ,编导 ,新媒体平台编辑主任 ,药品销售经理 ,软件架构师 ,CTO ,店铺运营经理 ,店长 ,项目总监 ,门店经理 ,市场推广主管 ,采购主管 ,招聘采购主管 ,业务拓展主管 ,研发团队带头人 ,实验室主管理人 ,运营主管 ,项目分析总监 ,招募项目经理 ,业务开发总监 ,新媒体运营经理 ,门店总经理 ,销售总监 ,仓库管理员 ,家装设计总监 ,前期开发经理 ,销售主管 ,项目运作经理 ,物流经理 ,市场营销经理 ,生产线管理人员 ,营销总监 ,区域销售代表 ,行政总监 ,生产线主管"
,体力劳动职业,3,0,17,"渔船工 ,搬运工 ,混凝土工 ,牲畜养殖工 ,矿工 ,清洁工 ,农田管理工 ,电焊工 ,垃圾清运工 ,仓库管理员 ,设备维护工 ,汽车维修人员 ,园艺工 ,水产养殖工 ,钢筋工 ,保安 ,叉车司机 ,装配工 ,卡车司机 ,送货员 ,流水线操作工 ,"
,关怀性职业,0,3,4,"护士长, 医生助理 ,高级护理主管 ,医疗管理主任"
,支持性职业,12,0,15,"客服主管 ,物流协调员 ,仓储管理主管 ,招募项目运营官 ,编辑主任助手 ,项目管理员 ,前台文员助理员 ,仓储经理 ,公关经理助理 ,快递管理专员 ,仓库主管 ,生产计划协调员 ,行政经理 ,物流主管 ,市场分析师助理 ,行政秘书 ,行政助理 ,店长助理 ,技术支持主管 ,订单处理管理员"
,服务性职业,10,9,30,"大厨 ,大堂经理 ,活动策划师 ,主厨 ,客户经理 ,餐饮经理 ,收银员 ,前厅经理 ,人力资源负责人 ,导游 ,增值服务专员 ,旅游顾问 ,前台经理助理 ,餐厅经理 ,空乘人员 ,资深乘务长 ,前台接待员销售经理 ,美容顾问 ,导游主管 ,售后服务经理 ,物流协调员 ,厨师长 ,物流调度员 ,前台接待员 ,进口业务员 ,前台经理 ,客户服务专员 ,机务员"
,专业性职业,36,2,144,"创客教师 ,信贷分析师 ,英语教师 ,研发主管 ,教学督导 ,飞行员培训教官 ,前言编辑 ,投资分析师 ,资深结构工程师 ,课程顾问 ,药物研发经理 ,投资顾问 ,化学教师 ,政治教师 ,药品研发主管 ,法律顾问 ,风险管理经理 ,财务总监 ,外贸专员 ,市场营销专员 ,历史教师 ,商战略分析师 ,化学老师 ,质量控制经理 ,战略咨询顾问 ,市场调研分析师 ,企业法务专员 ,市场分析师 ,营销主管 ,前期策划专员 ,资深安全顾问 ,农作物培育专家 ,航空驾驶员 ,课程开发主管 ,结构工程师 ,临床研究项目经理 ,财务经理 ,风控专员 ,飞行员培训主管 ,环保工程专员 ,编辑 ,安全工程师 ,质量检测员 ,咨询顾问 ,资深文案编辑 ,课程设计师 ,高级律师助理 ,内容编辑 ,实验室经理 ,新闻编辑 ,语文教师 ,文学编辑 ,专利工程师 ,前期规划师 ,高级机械设计师 ,高级建筑设计师 ,时尚买手 ,安全分析专家 ,课程开发经理 ,品牌公关经理 ,投资经理 ,记者编辑 ,管理顾问 ,基金经理 ,新书策划编辑 ,物理老师 ,化学分析师 ,矿场安全监察员 ,品控主管 ,财务分析师 ,供应链管理专家 ,单体设计师（建筑） ,编辑经理 ,安全管理员 ,财务主管 ,产品经理 ,资深项目管理咨询顾问 ,客户经理 ,临床工程师 ,药品研发员 ,环保工程师 ,研发工程师 ,英语老师 ,风险评估师 ,飞行员教练员 ,首席建筑师 ,风险控制经理 ,实验室主任 ,药品研发工程师 ,医疗管理主任 ,SEO专家 ,项目顾问 ,运营专员 ,安全卫生监督员 ,建筑设计师 ,飞行员 ,数学老师 ,理财顾问 ,品质管理员 ,环境工程师 ,土地评估师 ,药物研发主管 ,前线记者 ,建筑设计总监 ,语文老师 ,内科医生 ,药剂师 ,环保技术专员 ,平台运营专员 ,前期策划师 ,媒体联络专员 ,心内科医生 ,风控经理 ,市场调研员 ,数据分析师 ,业务跟单员 ,体育教师 ,质量控制员 ,外科医生 ,市场推广专员 ,高级律师 ,数据科学家 ,环境咨询师 ,市场营销专家 ,临床药师 ,项目管理专员 ,广告策略顾问 ,药品研发经理 ,新闻记者 ,数据分析员 ,风险分析师 ,病理医生 ,财务分析员"
,艺术和创意职业,12,1,29,"美术设计师总监 ,游戏设计师 ,编剧 ,平面设计总监 ,文案策划 ,前端设计师 ,视频剪辑师 ,编剧总监 ,平面设计师 ,单品设计师 ,影视编导 ,视频编辑 ,时装设计师助理 ,字体设计助理 ,化妆师 ,品牌营销策划 ,制片人 ,资深UI设计师 ,节目制作人 ,设计师助理 ,前端用户体验设计师主管 ,前期制片人助理 ,游戏策划师 ,用户体验设计师 ,单体设计师 ,网页设计师 ,新媒体内容总监 ,创意总监 ,内容策划专员 ,游戏开发成员 ,设计总监 ,服装设计师 ,设计师 ,广播主持人 ,UI设计师 ,摄影师助理"
,科学和学术职业,2,0,10,"科研项目主任 ,生物工程师 ,科学教师 ,药物研究员 ,科研助理 ,生物医药专家 ,高级电池研究员 ,研究员 ,临床研究员 ,环境科学家 ,首席科学家 ,研究员助理"
,其他,0,0,0,
,,,,,
