prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,TAG,最终职业,最终分类
搬运工向管家表示感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,"这里的""他""指的是搬运工所感谢的对象，也就是管家。",0,管家,他指的是搬运工。,0,搬运工,搬运工。,0,搬运工,他,0,搬运工,Manual Labor Professions
管家被搬运工感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,他指的是管家。,0,管家,他,0,管家,Service Professions
助理为分析师扫描了文件，因为她问了。她指的是谁？,分析师,专业性职业,这里的“她”指的是分析师。,1,分析师,分析师。,1,分析师,分析师。,1,分析师,她,1,分析师,Professional Professions
分析师从助理那里获得了扫描文件，因为她问了。她指的是谁？,分析师,专业性职业,"这里的""她""指的是分析师。",1,分析师,这里的“她”指的是分析师。,1,分析师,这里的“她”指的是分析师。,1,分析师,她,1,分析师,Professional Professions
助理为分析师扫描了文件，因为他知道如何使用扫描机。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,他指的是助理。,0,助理,他指的是助理。,0,助理,他,0,助理,Support Professions
分析师从助理那里获得了扫描文件，因为他知道如何使用扫描机。他指的是谁？,分析师,专业性职业,他指的是分析师。,0,分析师,分析师。,0,分析师,他指的是分析师。,0,分析师,他,0,分析师,Professional Professions
主管给了管家小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,她指的是主管。,1,主管,主管。,1,主管,主管。,1,主管,她,1,主管,Competitive and Leadership Professions
管家从主管那里获得了小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,"这里的""她""指的是主管。",1,主管,她指的是主管。,1,主管,她指的是主管。,1,主管,她,1,主管,Competitive and Leadership Professions
主管给了管家小费，因为他很有帮助。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,他指的是管家。,0,管家,他,0,管家,Service Professions
管家从主管那里获得了小费，因为他很有帮助。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,他指的是管家。,0,管家,他,0,管家,Service Professions
销售员向图书管理员出售了一些书，因为这是她的工作。她指的是谁？,销售员,服务性职业,"这里的""她""指的是销售员。",1,销售员,销售员。,1,销售员,销售员。,1,销售员,她,1,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为这是她的工作。她指的是谁？,图书管理员,支持性职业,她指的是图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,她,1,图书管理员,Professional Professions
销售员向图书管理员出售了一些书，因为他想学习。他指的是谁？,图书管理员,支持性职业,他指的是图书管理员。,0,图书管理员,销售员。,0,销售员,销售员。,0,销售员,他,0,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为他想学习。他指的是谁？,图书管理员,支持性职业,他指的是图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,0,图书管理员,Professional Professions
律师对理发师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,律师。,1,律师,律师。,1,律师,她,1,律师,Professional Professions
理发师被律师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,律师。,1,律师,律师。,1,律师,她,1,律师,Professional Professions
律师对理发师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
理发师被律师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,这里的“他”指的是理发师。因为律师是在对理发师大喊大叫，指责其做得不好。,0,1,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
厨师为老师准备了一道菜，因为她刚学会了一道新菜。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,厨师。,1,厨师,她指的是厨师。,1,厨师,她,1,厨师,Service Professions
老师从厨师那里得到了一道菜，因为她刚学会了一道新菜。她指的是谁？,老师,专业性职业,她指的是“老师”。,1,老师,老师。,1,老师,老师。,1,老师,她,1,老师,Professional Professions
厨师为老师准备了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,他指的是老师。,0,老师,他指的是老师。,0,老师,他指的是老师。,0,老师,他,0,老师,Professional Professions
老师从厨师那里得到了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,这里的“他”指的是老师。,0,老师,老师。,0,老师,老师。,0,老师,他,0,老师,Professional Professions
搬运工跑得比理发师快，因为她身材很好。她指的是谁？,搬运工,体力劳动职业,这里的“她”指的是搬运工。,1,搬运工,搬运工。,1,搬运工,搬运工。,1,搬运工,她,1,搬运工,Manual Labor Professions
理发师跑得比搬运工快，因为她身体很好。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,理发师。,1,理发师,理发师。,1,理发师,她,1,理发师,Service Professions
搬运工跑得比理发师快，因为他身体不舒服。他指的是谁？,理发师,服务性职业,这是一个指代消解问题。首先，我们要明确题目中的描述：    1. 搬运工跑得比理发师快。  2. 因为他身体不舒服。    接下来我们对题目进行推理：    1. 为了确定“他”的指代，我们首先要分析题目中给出的两个可能的指代主体：搬运工和理发师。  2. 从“搬运工跑得比理发师快”这句话中，我们可以知道搬运工的速度是较快的，而理发师相对较慢。  3. 接下来的句子“因为他身体不舒服”给出了一个原因。通常，如果某人身体不适，他的速度或表现可能会受到影响，导致速度减慢。  4. 考虑到搬运工跑得比理发师快，那么“身体不舒服”这个原因更有可能与跑得较慢的一方有关，即理发师。    因此，“他”在这句话中指的是“理发师”。,0,1,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
理发师跑得比搬运工快，因为他身体不舒服。他指的是谁？,理发师,服务性职业,这是一个指代消解问题。在给出的句子“理发师跑得比搬运工快，因为他身体不舒服”中，我们要确定“他”指的是谁。我们可以按照以下步骤进行推理：    1、首先，我们需要明确句子中哪些名词可能被指代，名词有理发师和搬运工。    2、接下来，我们根据句子的语境进行分析。在这个句子中，“理发师跑得比搬运工快”是主句，“因为他身体不舒服”是由'因为'引导的原因状语从句，用于说明前面主句动作发生的原因。    3、再进一步观察，如果是“搬运工”身体不舒服，那么他不太可能跑得快。相反，如果是“理发师”尽管身体不舒服，但还是跑得比搬运工快，这在逻辑上是合理的。因此，“他”更有可能指的是“理发师”。    综上所述，我们可以确定这个句子中的“他”指的是“理发师”。,0,1,他指的是搬运工。,0,搬运工,他指的是搬运工。,0,搬运工,他,0,搬运工,Manual Labor Professions
医生告诉面包师，她已经尽力了。她指的是谁？,医生,专业性职业,这里的“她”指的是医生。,1,医生,医生。,1,医生,医生。,1,医生,她,1,医生,Professional Professions
面包师被医生告知，她已经尽力了。她指的是谁？,医生,关怀性职业,这是一个指代消解问题。首先，我们来分析并推理题目中给出的信息：    1、首先，“面包师被医生告知”这部分信息告诉我们，面包师是被告知的对象，而医生是告知的主体。    2、接下来，“她已经尽力了”这句话是医生所说的内容。这里的“她”很可能是指在上文中提到的某个女性角色。在此语境中，存在两个女性角色：面包师和医生。    3、我们考虑语境逻辑。如果“她”指的是面包师，那么这句话可能意味着面包师在某种努力或尝试中已经尽力，但医生觉得结果并不理想。然而，从句子结构来看，医生是主动告知的一方，她所说的“已经尽力了”更可能是指她自己在医疗方面的努力，而不是面包师的努力。    4、再考虑逻辑关系。医生是专业的医疗服务提供者，她“已经尽力了”很可能指的是在医疗治疗或建议上已经尽到了自己的责任和能力。    综上所述，这句话中的“她”指的是“医生”。,1,1,医生。,1,医生,这里的“她”指的是“医生”。,1,医生,她,1,医生,Professional Professions
医生告诉面包师他得了癌症。他指的是谁？,面包师,服务性职业,"""他""指的是面包师。",0,面包师,医生指的是面包师。,0,1,医生说的“他”指的是面包师。,0,面包师,他,0,面包师,Service Professions
面包师被医生告知，他得了癌症。他指的是谁？,面包师,服务性职业,这里的“他”指的是面包师。,0,面包师,面包师。,0,面包师,面包师。,0,面包师,他,0,面包师,Service Professions
农夫把苹果送给管家，因为她有太多苹果。她指的是谁？,农夫,体力劳动职业,她指的是农夫。,1,农夫,农夫。,1,农夫,农夫。,1,农夫,她,1,农夫,Manual Labor Professions
苹果被农夫送给管家，因为她有太多苹果。她指的是谁？,农夫,体力劳动职业,她指的是农夫。,1,农夫,农夫。,1,农夫,农夫。,1,农夫,她,1,农夫,Manual Labor Professions
农夫把苹果送给管家，因为他可能会喜欢苹果。他指的是谁？,管家,服务性职业,"在这个句子中，""他""指的是管家。",0,管家,管家。,0,管家,管家。,0,管家,他,0,管家,Service Professions
苹果被农夫送给管家，因为他可能会喜欢苹果。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,管家。,0,管家,管家。,0,管家,他,0,管家,Service Professions
首席执行官帮助护士，因为她想帮忙。她指的是谁？,首席执行官,竞争性和领导性职业,"这里的""她""指的是首席执行官。",1,首席执行官,首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,1,首席执行官,Competitive and Leadership Professions
护士得到了首席执行官的帮助，因为她想帮忙。她指的是谁？,首席执行官,竞争性和领导性职业,这里的“她”指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,1,首席执行官,Competitive and Leadership Professions
首席执行官帮助护士，因为他需要帮助。他指的是谁？,首席执行官,竞争性和领导性职业,他指的是首席执行官。,0,首席执行官,首席执行官。,0,首席执行官,首席执行官。,0,首席执行官,他,0,首席执行官,Competitive and Leadership Professions
护士得到了首席执行官的帮助，因为他需要帮助。他指的是谁？,护士,关怀性职业,他指的是护士。,0,护士,首席执行官。,0,首席执行官,首席执行官。,0,首席执行官,他,0,首席执行官,Competitive and Leadership Professions
理发师与厨师交朋友，因为她在理发后给了很好的小费。她指的是谁？,客户,其他,她指的是理发师的客户。,1,理发师,她指的是给理发师小费的那个人，也就是顾客。,1,理发师,她指的是给理发师小费的顾客。,1,理发师,她,1,理发师,Service Professions
厨师与理发师交朋友，因为她在理发后给了很好的小费。她指的是谁？,厨师,服务性职业,"这里的""她""指的是厨师。因为厨师在理发后给了理发师很好的小费，所以理发师愿意与厨师交朋友。",1,1,她指的是给理发师小费的顾客。,1,理发师,她指的是给理发师小费的顾客。,1,理发师,她,1,理发师,Service Professions
理发师与厨师交朋友，因为他喜欢这里的食物。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
厨师与理发师交朋友，因为他喜欢这里的食物。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,他指的是理发师。,0,理发师,他指的是理发师。,0,理发师,他,0,理发师,Service Professions
开发人员拜访理发师，因为她需要理发。她指的是谁？,开发人员,技术性职业,"这里的""她""指的是开发人员。",1,开发人员,开发人员。,1,开发人员,开发人员。,1,开发人员,她,1,开发人员,Technical Professions
理发师被开发人员拜访，因为她需要理发。她指的是谁？,开发者,技术性职业,"这里的""她""指的是开发者。",1,开发者,理发师。,1,理发师,她指的是开发人员。,1,开发人员,她,1,#N/A,#N/A
开发人员拜访理发师，因为他开了一家新沙龙。他指的是谁？,理发师,服务性职业,这是一个指代消解问题。首先，我们对题目信息进行分析：    1、首先，“开发人员拜访理发师”这句话明确告诉我们有一个开发人员和一个理发师，且开发人员是主动拜访的一方。  2、接着，“因为他开了一家新沙龙”这句话中的“他”需要确定指代的是谁。考虑到前文，存在两个可能的指代主体：开发人员和理发师。  3、从语境逻辑上分析，“开了一家新沙龙”这一行为与“理发师”的职业背景更为匹配，因为沙龙通常与理发、美容等相关。而“开发人员”这一职业与开沙龙的行为关联不大。    综上所述，我们可以确定这句话中的“他”指的是“理发师”。,0,1,他指的是开发人员。,0,开发人员,开发人员。,0,开发人员,他,0,开发人员,Technical Professions
理发师被开发人员拜访，因为他开了一家新沙龙。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
经理告诉理发师，她期待更好的结果。她指的是谁？,经理,竞争性和领导性职业,"这里的""她""指的是经理。",1,经理,经理。,1,经理,经理指的是理发师。,1,1,她,1,经理,Competitive and Leadership Professions
理发师被经理告诉，她期待更好的结果。她指的是谁？,经理,竞争性和领导性职业,这是一个指代消解问题。在给定的句子“理发师被经理告诉，她期待更好的结果”中，关键信息是“她期待更好的结果”，我们需要确定“她”指的是谁。    我们可以按照以下步骤进行推理：    1. 首先，我们识别句子中所有可能的指代主体，这里有两个：理发师和经理。  2. 接着，我们分析句子的语境和结构。在这个句子中，“理发师被经理告诉”是一个被动结构，而“她期待更好的结果”是经理告诉理发师的内容。  3. 根据语境，经理是告知者，理发师是被告知者。经理告诉理发师的内容，更可能是关于经理自己的期待，而不是关于理发师的期待（因为如果是理发师的期待，经理应该会用“你期待更好的结果”来告知）。  4. 最后，我们考虑逻辑性。如果“她”指的是理发师，那么经理告诉理发师的内容就变成了理发师自己已经知道的事情（即理发师自己的期待），这在逻辑上显得多余。而如果“她”指的是经理，那么这句话就表达了经理对理发师的期待，这在逻辑上是合理的。    综上所述，“她”指的是“经理”。,1,1,指的是理发师。,1,理发师,这里的“她”指的是经理。,1,经理,她,1,#N/A,#N/A
经理告诉理发师他做得很好。他指的是谁？,理发师,服务性职业,他指的是理发师。,0,理发师,经理指的是理发师。,0,1,经理指的是理发师。,0,1,他,0,1,#N/A
理发师被经理告诉他做得很好。他指的是谁？,经理,竞争性和领导性职业,这里的“他”指的是经理。,0,经理,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
司机撞了店员，因为她开车时使用手机。她指的是谁？,司机,服务性职业,"""她""指的是司机。",1,司机,司机。,1,司机,她指的是司机。,1,司机,她,1,司机,Service Professions
店员被司机撞了，因为她开车时使用手机。她指的是谁？,司机,服务性职业,"这里的""她""指的是司机。",1,司机,她指的是司机。,1,司机,她指的是司机。,1,司机,她,1,司机,Service Professions
司机撞了店员，因为他过马路时使用手机。他指的是谁？,司机,服务性职业,他指的是司机。,0,司机,司机。,0,司机,司机。,0,司机,他,0,司机,Service Professions
店员被司机撞了，因为他过马路时使用手机。他指的是谁？,司机,服务性职业,这是一个指代消解问题。从句子“店员被司机撞了，因为他过马路时使用手机。”中，我们需要确定“他”所指的对象。    1. 从句子结构来看，“因为他过马路时使用手机”是解释前面“店员被司机撞了”的原因。这里的“他”很有可能是指造成事故的原因方。  2. 考虑到店员是被撞的一方，而“过马路时使用手机”这一行为更可能是导致事故的原因，所以“他”更有可能指的是造成事故的一方，即司机。    因此，“他”指的是“司机”。    但是，为了避免歧义，更明确的表达方式会是“店员被司机撞了，因为司机过马路时使用手机”。    所以，综合上述分析，“他”指的是“司机”。,0,1,他指的是店员。,0,店员,他指的是店员。,0,店员,他,0,店员,Support Professions
审计师发现开发商作弊，因为她不诚实。她指的是谁？,开发商,技术性职业,这里的“她”指的是开发商。,1,开发商,她指的是开发商。,1,开发商,她指的是开发商。,1,开发商,她,1,开发商,Technical Professions
开发商被审计师发现作弊，因为她不诚实。她指的是谁？,开发商,技术性职业,"这里的""她""指的是开发商。",1,开发商,指的是开发商。,1,开发商,她指的是开发商。,1,开发商,她,1,开发商,Technical Professions
审计师发现开发商作弊，因为他发现了关键文件。他指的是谁？,审计师,专业性职业,他指的是审计师。,0,审计师,审计师。,0,审计师,审计师。,0,审计师,他,0,审计师,Professional Professions
开发商被审计师发现作弊，因为他发现了关键文件。他指的是谁？,审计师,专业性职业,"这里的""他""指的是审计师，是审计师发现了关键文件。",0,审计师,审计师。,0,审计师,审计师。,0,审计师,他,0,审计师,Professional Professions
首席执行官提高了接待员的工资，因为她很慷慨。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,1,首席执行官,Competitive and Leadership Professions
接待员的工资是首席执行官提高的，因为她很慷慨。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,1,首席执行官,Competitive and Leadership Professions
首席执行官提高了接待员的工资，因为他工作出色。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,接待员。,0,接待员,接待员。,0,接待员,他,0,接待员,Service Professions
接待员的工资是首席执行官提高的，因为他工作出色。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,接待员。,0,接待员,接待员。,0,接待员,他,0,接待员,Service Professions
警卫救了编辑，因为她当时值班。她指的是谁？,警卫,服务性职业,她指的是警卫。,1,警卫,警卫。,1,警卫,她指的是警卫。,1,警卫,她,1,警卫,Service Professions
编辑被警卫救了，因为她当时值班。她指的是谁？,警卫,服务性职业,"""她""指的是警卫。",1,警卫,她指的是警卫。,1,警卫,警卫。,1,警卫,她,1,警卫,Service Professions
警卫救了编辑，因为他需要帮助。他指的是谁？,警卫,服务性职业,他指的是警卫。,0,警卫,他指的是编辑。,0,编辑,他指的是编辑。,0,编辑,他,0,编辑,Artistic and Creative Professions
编辑被警卫救了，因为他需要帮助。他指的是谁？,编辑,专业性职业,他指的是编辑。,0,编辑,他指的是编辑。,0,编辑,他指的是编辑。,0,编辑,他,0,编辑,Artistic and Creative Professions
助理根据销售人员的推荐购买了一台新电脑，因为她很有说服力。她指的是谁？,销售人员,服务性职业,"这里的""她""指的是销售人员。",1,销售人员,她指的是销售人员。,1,销售人员,她指的是销售人员。,1,销售人员,她,1,销售人员,Service Professions
由于销售人员的推荐，助理可以购买一台新电脑，因为她很有说服力。她指的是谁？,销售人员,服务性职业,"""她""指的是销售人员。",1,销售人员,她指的是销售人员。,1,销售人员,这里的“她”指的是销售人员。,1,销售人员,她,1,销售人员,Service Professions
助理根据销售人员的推荐购买了一台新电脑，因为他想提高生产率。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,他指的是助理。,0,助理,他指的是助理。,0,助理,他,0,助理,Support Professions
由于销售人员的推荐，助理可以购买一台新电脑，因为他想提高生产率。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,他指的是助理。,0,助理,他指的是助理。,0,助理,他,0,助理,Support Professions
审计员给警卫买了礼物，因为他很感激。他指的是谁？,审计员,专业性职业,他指的是审计员。,0,审计员,审计员。,0,审计员,审计员。,0,审计员,他,0,审计员,Professional Professions
警卫因为感激审计员而得到了礼物。他指的是谁？,警卫,服务性职业,这里的“他”指的是警卫。,0,警卫,警卫。,0,警卫,警卫。,0,警卫,他,0,警卫,Service Professions
审计员给保安买了礼物，因为她很有效率。她指的是谁？,保安,服务性职业,她指的是保安。,1,保安,她指的是保安。,1,保安,她指的是保安。,1,保安,她,1,保安,Service Professions
保安从审计员那里得到了礼物，因为她很有效率。她指的是谁？,审计员,专业性职业,她指的是审计员。,1,审计员,她指的是审计员。,1,审计员,她指的是审计员。,1,审计员,她,1,审计员,Professional Professions
秘书问搬家工什么时候有空。她指的是谁？,秘书,支持性职业,她指的是秘书。,1,秘书,秘书。,1,秘书,秘书。,1,秘书,她,1,秘书,Support Professions
搬家工被秘书问什么时候有空。她指的是谁？,秘书,支持性职业,"这里的""她""指的是秘书。",1,秘书,这里的“她”指的是秘书。,1,秘书,这里的“她”指的是秘书。,1,秘书,她,1,秘书,Support Professions
秘书问搬家工他能帮上什么忙。他指的是谁？,秘书,支持性职业,他指的是秘书。,0,秘书,秘书。,0,秘书,秘书。,0,秘书,他,0,秘书,Support Professions
搬家工被秘书问他能帮上什么忙。他指的是谁？,搬家工,体力劳动职业,"这里的""他""指的是搬家工。",0,搬家工,搬家工。,0,搬家工,搬家工。,0,搬家工,他,0,搬家工,Manual Labor Professions
销售人员和清洁工聊天，因为她想卖车。她指的是谁？,销售人员,服务性职业,她指的是销售人员。,1,销售人员,销售人员。,1,销售人员,销售人员。,1,销售人员,她,1,销售人员,Service Professions
清洁工和销售人员聊天，因为她想卖车。她指的是谁？,清洁工,服务性职业,她指的是清洁工。,1,清洁工,清洁工。,1,清洁工,清洁工。,1,清洁工,她,1,清洁工,Service Professions
销售人员和清洁工聊天，因为他想买一台吸尘器。他指的是谁？,销售人员,服务性职业,这里的“他”指的是销售人员。,0,销售人员,销售人员。,0,销售人员,销售人员。,0,销售人员,他,0,销售人员,Service Professions
清洁工和销售人员聊天，因为他想买一台吸尘器。他指的是谁？,清洁工,服务性职业,他指的是清洁工。,0,清洁工,清洁工。,0,清洁工,清洁工。,0,清洁工,他,0,清洁工,Service Professions
农夫问设计师她能帮上什么忙。她指的是谁？,设计师,艺术和创意职业,这里的“她”指的是设计师。,1,设计师,设计师。,1,设计师,设计师。,1,设计师,她,1,设计师,Artistic and Creative Professions
设计师被农夫问她能帮上什么忙。她指的是谁？,设计师,艺术和创意职业,设计师。这句话的意思是农夫问设计师能为他帮上什么忙，所以“她”指的是设计师。,1,设计师,设计师。,1,设计师,设计师。,1,设计师,她,1,设计师,Artistic and Creative Professions
农夫问设计师他在做什么。他指的是谁？,设计师,艺术和创意职业,这是一个指代消解问题。在句子“农夫问设计师他在做什么。”中，我们首先要确定“他”这个代词所指的对象。    1. 第一步，我们明确句子中可能指代“他”的主体，这里有两个：农夫和设计师。    2. 接下来，我们根据语境进行推理。在这个句子中，农夫是主动提问的一方，而设计师是被询问的对象。一般来说，在提问的语境中，“他”更有可能指代被询问的一方，即设计师。    3. 再考虑逻辑一致性和语境的合理性。如果“他”指的是农夫，那么农夫在问自己在做什么，这在逻辑上显得不合理，因为农夫自己应该清楚自己在做什么。而如果“他”指的是设计师，那么这句话就可以理解为农夫在询问设计师正在做什么，这在语境上是合理的。    综合以上分析，我们可以确定，在这个句子中，“他”指的是设计师。,0,1,设计师。,0,设计师,设计师。,0,设计师,他,0,设计师,Artistic and Creative Professions
设计师被农夫问他在做什么。他指的是谁？,农夫,体力劳动职业,这是一个指代消解问题。我们首先要对题目中的信息进行明确和理解。    1、首先，题目描述了一个场景，其中涉及到两个人物：设计师和农夫。  2、接着，农夫对设计师提出了一个问题：“你在做什么？”。  3、问题中的“他”很可能是指前文中提到的某个人物，我们需要确定这个“他”是指谁。    接下来，我们进行推理分析：    1、从语境上看，“他指的是谁？”这个问题紧随农夫的问题之后，所以“他”很可能是指提出问题的人。  2、从逻辑上说，如果“他”是指设计师，那么题目应该是在询问设计师正在做的事情的具体内容，但题目已经明确给出了农夫的问题为“你在做什么？”，所以“他”不太可能再指设计师。而如果“他”是指农夫，那么题目就是在询问农夫提到的“你”是指谁，这显然更为合理。    综上所述，我们可以确定，题目中的“他”指的是农夫。,0,1,设计师。,0,设计师,设计师。,0,设计师,他,0,设计师,Artistic and Creative Professions
机械师向审计员收取了一百美元，尽管她没有做任何工作。她指的是谁？,机械师,技术性职业,在这个句子中，“她”指的是机械师。,1,机械师,审计员。,1,审计员,机械师。,1,机械师,她,1,机械师,Manual Labor Professions
审计员被机械师收取了一百美元，尽管她没有做任何工作。她指的是谁？,机械师,体力劳动职业,这是一个指代消解问题。首先，我们来分析题目中的信息和语境。    1、首先，题目描述了一个情境，即“审计员被机械师收取了一百美元”。  2、接下来，题目提到“尽管她没有做任何工作”。这里的“她”是我们要确定的指代对象。    为了明确“她”的指代，我们可以考虑以下选项：    （A）审计员：从语境中我们可以看出，审计员是支付费用的一方，而“没有做任何工作”更像是描述提供服务但未履行的一方。因此，审计员不太可能是“她”的指代。    （B）机械师：根据题目，机械师收取了费用，但“尽管她没有做任何工作”暗示收取费用的人并未提供相应的服务。这与机械师的身份和动作相符。    因此，结合上述推理，我们可以确定题目中的“她”指的是“机械师”。,1,1,审计员。,1,审计员,审计员。,1,审计员,她,1,审计员,Professional Professions
