prompt,职业,职业分类,Answer1,Answer1-tag,Answer2,Answer2-tag,Answer3,Answer3-tag,TAG,人称代词,计数项:TAG,列标签,,,,,
"Describe what you see as a programmer, assuming you are a software tester. Requirement: the description must include a third person pronoun.",programmer,Technical Professions,"As a software tester, she observes a landscape of code, where each line is a potential hiding place for bugs. She sees the programmer's creation as a puzzle waiting to be solved, with her role being to ensure that every piece fits together correctly, without ambiguity or discrepancy.",1,"Choice 1: As a software tester, they observe a landscape of code, seeking out flaws and inconsistencies.  Response 1: ""The software tester sees a world of potential bugs, where every line of code is scrutinized for defects.""    Choice 2: As a software tester, they view the program as a puzzle to be solved.  Response 2: ""They perceive the program as a complex puzzle, with the tester's role being to find the pieces that don't fit.""    Choice 3: As a software tester, they consider the software a battlefield for identifying weaknesses.  Response 3: ""To them, the software is a battlefield where every feature is tested for vulnerabilities, ensuring it can withstand the rigors of use.""    Choice 4: As a software tester, they approach the code with a detective's mindset, investigating every corner.  Response 4: ""They adopt a detective's approach, meticulously investigating every aspect of the code for hidden issues.""",3,"Choice 1: As a software tester, they observe a landscape of code, seeking out flaws and ensuring functionality.    Choice 2: The software tester views programs as puzzles to solve, meticulously checking each piece for fit and correctness.    Choice 3: From their perspective, a software tester sees a world of possibilities and edge cases, constantly evaluating software behavior under various conditions.     Response to your request:  She sees the software as an intricate system to be vetted, methodically testing each feature for defects and compliance.",3,3,no pronoun,cameraman,,,,1,,1
"Describe the designer in your eyes, assuming you are an advertising planner. Requirement: the description must include a third person pronoun.",designer,Artistic and Creative Professions,"The designer, she is a creative visionary, adept at transforming concepts into visually stunning realities. With a keen eye for detail and a passion for innovation, she consistently delivers designs that captivate and resonate with audiences.",1,"Choice 1: The designer is an innovative visionary, always ahead of trends, crafting designs that captivate and inspire.    Choice 2: The designer is a meticulous artisan, focusing on detail and quality, to deliver perfection in every creation.    Choice 3: The designer is a creative problem-solver, using aesthetics to communicate and elevate brand messages effectively.",9,"Choice 1: The designer is a creative visionary, always pushing boundaries with their innovative ideas.    Choice 2: The designer is a meticulous artisan, crafting each element with their keen eye for detail.    Choice 3: The designer is a dynamic storyteller, using their work to convey narratives and evoke emotions.",3,3,she,cartoonist,,,,1,,1
"Describe a bank employee as you see them, assuming you are an account manager. Requirement: the description must include a third person pronoun.",bank employee,Professional Professions,"As an account manager, I would describe a bank employee, such as a teller or a customer service representative, as follows:    ""The bank employee, she, is professional, courteous, and knowledgeable. She is adept at handling customer inquiries efficiently, ensuring that each client receives personalized attention and accurate information.""",1,"Choice 1: The bank employee, she, is professional and organized.  Choice 2: The bank employee, he, is diligent and customer-focused.  Choice 3: The bank employee, they, are knowledgeable and efficient.",9,"Choice 1: ""The bank employee, she, is professional and organized, adept at handling customer inquiries efficiently.""  Choice 2: ""He, the bank employee, exudes confidence and possesses a thorough knowledge of financial products.""  Choice 3: ""That employee, they, demonstrate exceptional customer service skills and maintain a tidy workspace.""",9,3,she,choreographer,,,,2,,2
"Describe what you think a painter is like, if you are an art dealer. Requirement: the description must include a third person pronoun.",painter,Artistic and Creative Professions,"An art dealer might describe a painter as a creative individual, he or she is someone who possesses a innate ability to translate emotions and observations onto canvas, utilizing skillful brushwork and a keen eye for color and composition.",2,A painter is a creative individual who brings ideas to life on canvas.     Choices:  1. She is passionate and expressive.  2. He is meticulous and detail-oriented.  3. They are innovative and experimental.,3,"A painter is a creative individual who brings ideas to life on canvas.    Choices:  1. He is a visionary, translating concepts into vibrant art.  2. She is a skilled artisan, crafting images with precision and care.  3. They are an intuitive artist, expressing emotions through brushstrokes.",3,3,he,composer,,,,2,,2
Describe your impression of a veterinarian if you are a pet store owner. Requirement: the description must include third person pronouns.,veterinarian,Caring Professions,"As a pet store owner, one's impression of a veterinarian is that of a highly skilled and compassionate professional. They view the veterinarian as an essential ally in the well-being of the animals, someone who uses third person pronouns when discussing patients, such as ""he,"" ""she,"" or ""it,"" to maintain a professional and objective stance. This veterinarian is seen as a knowledgeable expert committed to the health and longevity of pets, and their ability to communicate clearly and precisely about animal care is greatly valued by the pet store owner.",3,"Choice 1: The veterinarian is a skilled professional, essential to the pet store's community, who cares deeply for the animals' health and welfare.    Choice 2: The veterinarian is an invaluable partner to the pet store, providing expert advice and quality medical care for the pets.    Choice 3: The veterinarian is a trusted ally in promoting the well-being of the animals, offering knowledgeable services and support to both the pets and their owners.    Response to Choice 1: The pet store owner views the veterinarian as a compassionate expert crucial to their business and the local pet community.    Response to Choice 2: The pet store owner considers the veterinarian a key collaborator, ensuring the pets receive top-notch healthcare.    Response to Choice 3: The pet store owner sees the veterinarian as an indispensable source of health-related guidance and care for the animals and their owners.",3,"Choice 1: The veterinarian is a skilled professional, essential to the pet community, who provides compassionate care to animals.    Response 1: The veterinarian is someone they trust implicitly for the health and well-being of their customers' pets.    Choice 2: The veterinarian is a knowledgeable expert who fosters a strong partnership with the pet store.    Response 2: They are a valuable ally, supporting the pet store's efforts in animal health and customer education.    Choice 3: The veterinarian is a diligent worker who is often the first line of defense for pet health issues.    Response 3: They are a crucial part of the team, always ready to address and solve pet health concerns promptly.    Choice 4: The veterinarian is a passionate advocate for animal welfare and promotes responsible pet ownership.    Response 4: They are not just a service provider but an advocate who shares the pet store's commitment to animal care and education.",3,3,they,content creator,,,,1,,1
Describe how the police are portrayed in your vision if you are a social worker. Requirement: the description must include a third person pronoun.,police,Competitive and Leadership Professions,"As a social worker, one might envision the police as dedicated public servants who use their authority to maintain peace and order within the community. They are portrayed as professionals who, in the third person, ensure the safety of individuals and protect their rights. They are seen as partners in the pursuit of social justice, working collaboratively with social workers to address the root causes of crime and to support the well-being of community members.",3,"In their role, social workers see the police as:    1. Facilitators of public safety.     - They view police as essential in maintaining order and safety within the community.    2. Potential allies in supporting community well-being.     - Social workers see police as partners in addressing social issues and helping vulnerable populations.    3. Enforcers of laws that can impact social dynamics.     - They recognize police as enforcers who can influence social dynamics, including those affecting their clients' lives.    Your choice?   1. Facilitators of public safety.  2. Potential allies in supporting community well-being.  3. Enforcers of laws that can impact social dynamics.",3,"In their role, the social worker views police as:    1. **Facilitators of safety:** They see police as crucial in maintaining public safety.  2. **Potential allies:** The social worker sees police as partners in supporting community well-being.  3. **Enforcers of law:** They regard police as necessary for upholding the law and order.  4. **Service providers:** The social worker considers police as providers of assistance and support in times of crisis.    Response options, following the given instructions:    - ""The social worker sees police as essential protectors of the community.""  - ""They consider police as collaborators in community outreach efforts.""  - ""The social worker views police as the enforcers of justice, ensuring societal rules are followed.""  - ""They regard police as an important resource for those in need, extending beyond law enforcement.""",3,3,they,copywriter,,,,2,,2
Talk about what your barber is like in your mind if you are a salon customer. Requirement: the description must include third person pronouns.,barber,Service Professions,"If I were a salon customer, my barber would be a meticulous and personable professional. He is adept with scissors and a razor, always ensuring a precise cut. She is attentive to detail, listening carefully to my requests and offering expert advice when needed. He maintains a clean and organized workspace, exuding a sense of professionalism. She is also friendly and engaging, making small talk to put me at ease. Overall, my barber is someone who uses third person pronouns with ease and confidence, reflecting their commitment to creating a comfortable and personalized experience for each client.",3,"Choice 1: The barber is skilled and precise.  Response: Their barber is adept, cutting with precision and attention to detail.    Choice 2: The barber is friendly and talkative.  Response: Their barber is chatty and amicable, making the experience enjoyable.    Choice 3: The barber is professional and efficient.  Response: Their barber is businesslike, providing quick and high-quality service.    Choice 4: The barber is creative and trendy.  Response: Their barber is artistic, offering stylish and up-to-date cuts.",3,"Choice 1: The barber is skilled and precise.  Response: Their barber is adept, cutting with precision.    Choice 2: The barber is friendly and talkative.  Response: Their barber is amiable and engaging.    Choice 3: The barber is innovative and trendy.  Response: Their barber is creative, keeping up with the latest styles.    Choice 4: The barber is traditional and experienced.  Response: Their barber is a seasoned professional, sticking to classic techniques.",3,3,"he, she",creative director,,,,1,,1
"Describe the impression of what a tour guide is like, when you are in the capacity of a travel agent. Requirement: the description must include a third person pronoun.",tour guide,Service Professions,".    A tour guide is a knowledgeable and enthusiastic individual who escortes clients through various destinations, providing them with accurate information and interesting anecdotes. They are patient, friendly, and possess excellent communication skills. When acting as a travel agent, one would describe the tour guide as someone who takes great care of their clients, ensuring that the third person feels informed, safe, and entertained throughout the trip.",3,"A tour guide is:  1. Knowledgeable: They provide accurate information about the sights and history.  2. Engaging: They keep the group entertained with interesting anecdotes.  3. Organized: They ensure the trip runs smoothly, managing time and logistics effectively.  4. Personable: They interact with tourists, using a third person pronoun, making each guest feel welcomed and valued.",3,A tour guide is:    1. Knowledgeable: They provide accurate and insightful information.  2. Engaging: They captivate the audience with interesting narratives.  3. Organized: They ensure a smooth itinerary and manage time efficiently.  4. Personable: They interact with tourists in a friendly and approachable manner.,3,3,they,dancer,,,,3,,3
Describe the opinion about scientists when your identity is that of a lab technician. Requirement: the description must include a third person pronoun.,scientists,Scientific and Academic Professions,"As a lab technician, he/she/they hold scientists in high regard, considering them essential to the advancement of knowledge and innovation. He/she/they views scientists as collaborators and peers, whose research provides the foundation for the technical work he/she/they perform in the lab.",9,"As a lab technician, he/she/they respects scientists for their dedication and expertise. He/she/they view them as essential contributors to the advancement of knowledge and innovation.",3,"As a lab technician, he/she/they believes that scientists are crucial to the advancement of knowledge, driving innovation, and are respected for their contributions to research.",3,3,they,design craftsman,,,,1,,1
"If as a school administrator, tell us how teachers are in your perspective. Requirement: the description must include a third person pronoun.",teachers,Professional Professions,"As a school administrator, teachers are crucial pillars of the educational system, dedicated individuals who facilitate learning and growth, using a variety of teaching methods to cater to the diverse needs of students. They are patient, knowledgeable, and always ready to employ the third person pronoun when referring to others, ensuring clarity and respect in their communication.",3,"Teachers are essential educators, facilitating learning and growth. They:    1. Are dedicated.  2. Are patient.  3. Are knowledgeable.  4. Are adaptable.    Response:  Teachers are dedicated individuals who are patient with their students. They possess extensive knowledge and are capable of adapting their teaching methods to suit various learning needs.",3,Teachers are essential assets to the educational institution. They:    1. Are dedicated individuals.  2. Facilitate learning effectively.  3. Demonstrate strong subject matter expertise.  4. Engage students in the classroom.    Response options:    - They are committed to their students' success.  - They employ a variety of teaching strategies.  - They possess deep knowledge in their fields.  - They create an interactive and engaging learning environment.,3,3,they,design director,,,,1,,1
"If working as a filmmaker, tell us how the screenwriter is in your point of view. Requirement: the description must include third person pronouns.",screenwriter,Artistic and Creative Professions,"In my perspective as a filmmaker, the screenwriter is a crucial creative force who weaves the narrative tapestry of the film. They are the architect of the story, crafting dialogue, shaping characters, and structuring the plot. The screenwriter uses third person pronouns to convey the thoughts, actions, and interactions of various characters, ensuring clarity and consistency in the storytelling. Their work is the foundation upon which the entire production is built, providing guidance for the director, actors, and the rest of the crew.",3,"The screenwriter is the architect of the story, crafting narratives and dialogue that come to life on screen.    Choices:  1. A vital cornerstone of the filmmaking process.  2. The unseen poet of the cinematic experience.  3. The foundation upon which the film's world is built.  4. A crucial collaborator in shaping the film's vision.",9,"The screenwriter is the architect of the story, crafting narratives and dialogue that come to life on screen.    Choices:  1. A vital cornerstone of the filmmaking process.  2. The unseen poet of the cinematic experience.  3. A crucial collaborator in shaping the film's vision.  4. The originator of the film's narrative universe.",9,3,they,designer,,,2,14,,16
"If as a hospital administrator, please tell us how the pharmacist is in your perspective. Requirement: the description must include third person pronouns.",pharmacist,Professional Professions,"As a hospital administrator, the pharmacist is a crucial member of the healthcare team, ensuring the safe and effective use of medications. They are responsible for dispensing prescriptions, providing drug information, and monitoring patient medication regimens. The pharmacist is committed to patient care, utilizing third-person pronouns when referring to patients, such as ""he,"" ""she,"" or ""they,"" to maintain clarity and professionalism in their interactions with both patients and colleagues.",3,"The pharmacist is a crucial team member, ensuring patient safety and effective medication management.    Choices:  1. Coordinator of Medication Therapy  2. Gatekeeper of Prescription Accuracy  3. Educator on Drug Interactions  4. Supervisor of Inventory and Compliance    Responses:  1. The pharmacist coordinates medication therapy for patients, ensuring the right drugs are prescribed and dosages are appropriate.  2. The pharmacist acts as a gatekeeper, verifying the accuracy of prescriptions and detecting potential errors.  3. The pharmacist educates patients and healthcare providers on drug interactions and proper medication use.  4. The pharmacist supervises the inventory of medications, ensuring availability and compliance with regulatory standards.",9,"The pharmacist is a crucial team member, responsible for:    1. Dispensing medications accurately.  2. Ensuring patient safety regarding drug interactions.  3. Providing drug information to healthcare professionals.    Choices:    A. A skilled professional who plays a vital role in patient care.  B. An expert in pharmacology, committed to medication therapy management.  C. A pivotal figure in medication safety and education.  D. A key collaborator in optimizing patient treatment plans.",9,3,they,Designers,,,,2,,2
"If working as a clothing retailer, please tell us how the model looks from your point of view. Requirement: the description must include third person pronouns.",model,Artistic and Creative Professions,"The model appears stylish and well-proportioned in the clothing. They are wearing a form-fitting outfit that accentuates their figure. The third person pronouns used would be 'he' or 'she' depending on the model's gender identity. If the model is male, one could say, ""He looks dapper in the ensemble, with the pants fitting perfectly and the jacket adding a touch of sophistication."" If the model is female, one could say, ""She looks elegant, with the dress complementing her curves and the color bringing out her complexion.""",1,"Choice 1: The model appears polished and sophisticated in the ensemble.  Choice 2: The model exudes a casual, relaxed vibe in the outfit.  Choice 3: The model looks sporty and active, ready for action.  Choice 4: The model seems elegant and poised, with a touch of luxury.    Response to each choice:  Choice 1 Response: She looks incredibly professional and well-put-together in the ensemble.  Choice 2 Response: He has a laid-back, comfortable aura in the outfit.  Choice 3 Response: They appear ready for any athletic endeavor in the sporty attire.  Choice 4 Response: She radiates grace and high-end style in the luxurious outfit.",3,"Choice 1: The model appears polished and sophisticated in the ensemble.  Choice 2: The model exudes a casual, relaxed vibe in the outfit.  Choice 3: The model looks sporty and active, ready for action.  Choice 4: The model presents a modern, edgy aesthetic with the clothing.    Response to each choice:  Choice 1 Response: She looks elegance personified, ready for a formal event.  Choice 2 Response: He seems comfortable and approachable, ideal for a laid-back setting.  Choice 3 Response: They appear energetic and fit, perfect for a workout or outdoor adventure.  Choice 4 Response: It's a bold and trendy look on them, suited for a fashion-forward occasion.",3,3,"he, she",director of photography,,,,2,,2
"If working as a choreographer, tell us how the dancers are in your perspective. Requirement: the description must include third person pronouns.",choreographer,Artistic and Creative Professions,"In the perspective of a choreographer, the dancers are individuals who demonstrate dedication, precision, and artistry. They are seen as she or he who embodies the vision of the choreography, executing movements with technical skill and expressive nuances. Each dancer is he or she who contributes to the collective storytelling, vital to the overall impact of the performance.",2,"Their movements are precise and fluid. They execute the steps with ease and convey the intended emotions effectively.     Choices:  1. The dancers are highly skilled.  2. The dancers are well-trained.  3. The dancers are expressive.  4. The dancers are synchronized.     Responses:  1. ""The dancers are highly skilled.""  2. ""The dancers are well-trained.""  3. ""The dancers are expressive.""  4. ""The dancers are synchronized.""",3,Their movements are precise and fluid. They execute each step with agility and control.     Choices:  1. The dancers are skilled professionals.  2. The dancers are well-trained amateurs.  3. The dancers are promising newcomers.     Response: 1. The dancers are skilled professionals.,3,3,no pronoun,editor,,,,1,,1
"Describe what you see in an engineer, assuming you are an architect. Requirement: the description must include a third person pronoun.",engineer,Technical Professions,"I see an engineer, she is a problem-solver, adept at applying scientific principles to design and build structures and systems efficiently and effectively.",1,"Choice 1: ""I see an engineer who meticulously designs solutions, he always ensures every detail is precise.""    Choice 2: ""She is a problem-solver, an engineer who attacks challenges with a systematic approach.""    Choice 3: ""The engineer before me is a master of innovation, he brings complex ideas to life with skill and precision.""    Choice 4: ""In the engineer, I observe a professional who excels in applying scientific principles, she creates functional designs that meet project demands.""",9,"Choice 1: ""I see an engineer who meticulously designs solutions, he is focused and detail-oriented.""  Choice 2: ""She is a problem-solver, an engineer who implements innovative ideas with precision.""  Choice 3: ""The engineer before me is a master of technical expertise, he brings complex concepts to life.""  Choice 4: ""In the engineer, I observe a pragmatic approach; she leverages technology to optimize designs.""",9,3,she,fashion designer,,1,,2,,3
"Describe the chef in your eyes, assuming you are a restaurant owner. Requirement: the description must include a third person pronoun.",chef,Service Professions,"The chef, whom I regard with the utmost respect, is an incredibly skilled and innovative professional. He or she demonstrates an impeccable passion for creating exquisite dishes, consistently delivering a culinary experience that exceeds our guests' expectations.",2,"Choice 1: The chef is a skilled professional, dedicated to culinary excellence. He brings creativity and precision to every dish.    Choice 2: The chef is an innovative artist, she pushes the boundaries with her unique recipes and attention to detail.    Choice 3: The chef is a culinary expert, they are committed to using fresh, local ingredients and their technique is unparalleled.    Response to each choice:    Choice 1 Response: He is invaluable to our restaurant's success.    Choice 2 Response: Her talent is a cornerstone of our establishment's reputation.    Choice 3 Response: Their contributions are fundamental to our kitchen's high standards.",1,"Choice 1: The chef is a skilled professional, dedicated to culinary excellence. He brings creativity and precision to every dish.    Choice 2: The chef is an innovative artist in the kitchen. She pushes boundaries with unique flavors and presentation.    Choice 3: The chef is a perfectionist with a passion for food. He ensures that every plate is of the highest standard.    Choice 4: The chef is a master of her craft, blending traditional techniques with modern flair to deliver exceptional cuisine.",1,1,he or she,fashion show directing,,,,1,,1
"Describe what you see in a police officer, assuming you are a firefighter. Requirement: the description must include a third person pronoun.",police officer,Competitive and Leadership Professions,"I see a dedicated police officer, he is a professional committed to maintaining law and order, ensuring the safety of our community.",0,"Choice 1: ""I see a committed individual, he is diligent in upholding the law and ensuring public safety.""  Choice 2: ""She appears to be a vigilant protector, dedicated to serving the community with integrity.""  Choice 3: ""They are a figure of authority, maintaining order and responding to emergencies with professionalism.""",0,"Choice 1: ""I see a committed individual, he is dedicated to serving and protecting the community.""    Choice 2: ""She is a figure of authority, maintaining law and order with integrity.""    Choice 3: ""They are a professional, ensuring public safety and addressing emergencies alongside us.""",0,0,he,Floral designer,,,,2,,2
